Fighter_Name,Height_cm,Weight_lbs,Reach_cm,Age,Win_Rate,Total_Fights,SLpM,Str_Acc_f,SApM,Str_Def_f,TD_Avg,TD_Acc_f,TD_Def_f,Sub_Avg
Matthew Semelsberger,185.4,170.0,190.5,31.1,0.5789473684210527,19,3.77,0.42,4.24,0.54,1.01,0.57,0.45,0.4
Andrei Semenov,182.9,185.0,182.9,46.5,0.7555555555555555,45,0.78,0.15,2.44,0.6,1.74,0.8,0.55,0.4
Mackens Semerzier,175.3,145.0,182.9,43.2,0.6666666666666666,12,2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1
Brandon Sene,180.3,205.0,182.9,42.6,0.5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YeDam Seo,160.0,115.0,160.0,31.8,0.6363636363636364,11,1.07,0.27,2.4,0.58,0.5,0.2,0.42,0.0
DongHyun Seo,170.2,145.0,170.2,33.4,0.6363636363636364,11,4.91,0.63,3.35,0.41,0.0,0.0,0.0,0.0
Kim In Seok,167.6,145.0,182.9,43.2,0.3333333333333333,9,0.87,0.37,5.19,0.6,0.0,0.0,0.0,0.0
Ray Seraille,190.5,246.0,182.9,44.5,0.47058823529411764,17,5.29,0.27,12.814899999999998,0.41,0.0,0.0,0.0,0.0
Ivan Serati,182.9,205.0,182.9,36.8,0.75,16,0.86,0.26,5.33,0.29,0.0,0.0,0.0,0.0
Alex Serdyukov,188.0,170.0,188.0,43.6,0.6153846153846154,13,4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8
Nicholas Sergiacomi,177.8,170.0,182.9,36.8,0.5,2,4.38,0.55,3.94,0.59,0.0,0.0,0.0,0.0
Matt Serra,167.6,170.0,172.7,49.6,0.6111111111111112,18,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
Nick Serra,175.3,170.0,182.9,45.8,0.7,10,0.0,0.0,1.73,0.43,1.0,0.1,0.0,2.0
Adrian Serrano,172.7,170.0,182.9,59.08299999999999,0.6292134831460674,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fredy Serrano,160.0,125.0,165.1,44.3,0.6,5,1.58,0.26,1.89,0.61,2.84,0.25,0.84,0.0
Carl Seumanutafa,185.4,255.0,182.9,40.5,0.5555555555555556,18,0.0,0.0,3.33,0.75,0.0,0.0,0.0,0.0
Igor Severino,170.2,125.0,175.3,21.6,0.8888888888888888,9,7.17,0.52,4.33,0.47,8.49,0.71,0.5,0.0
Dan Severn,188.0,250.0,182.9,59.08299999999999,0.8347107438016529,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosi Sexton,160.0,135.0,182.9,46.5,0.7222222222222222,18,3.31,0.39,7.42,0.41,0.75,0.1,0.8,0.0
Rodrigo Sezinando,175.3,170.0,180.3,26.1,0.8181818181818182,11,2.25,0.27,8.76,0.42,3.37,0.25,0.66,0.0
Scott Shaffer,170.2,145.0,182.9,36.8,0.0,1,2.4,0.67,0.53,0.5,0.0,0.0,0.72,3.0
Don Shainis,167.6,145.0,170.2,33.3,0.7058823529411765,17,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9
Liliya Shakirova,162.6,125.0,165.1,32.2,0.8,10,2.7,0.3,2.58,0.74,0.0,0.0,0.0,0.0
Kamal Shalorus,172.7,155.0,172.7,51.3,0.5625,16,3.06,0.32,2.99,0.7,2.07,0.5,0.8,0.0
Ken Shamrock,185.4,205.0,182.9,59.08299999999999,0.5957446808510638,47,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5
Frank Shamrock,177.8,185.0,182.9,51.1,0.6571428571428571,35,4.75,0.53,4.66,0.57,0.35,0.5,0.37,1.1
Shang Zhifa,170.2,125.0,160.0,37.8,0.8,40,1.27,0.32,1.27,0.6,2.0,1.0,0.0,0.0
Priya Sharma,157.5,115.0,160.0,32.3,0.7142857142857143,7,1.33,0.16,3.2,0.4,0.0,0.0,0.55,0.0
Jason Sharp,177.8,205.0,182.9,36.8,0.5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric Shelton,167.6,125.0,172.7,32.9,0.6666666666666666,18,2.57,0.42,1.88,0.63,2.83,0.51,0.46,0.2
Sean Sherk,167.6,155.0,170.2,50.4,0.8780487804878049,41,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4
Chase Sherman,193.0,250.0,198.1,34.1,0.5714285714285714,28,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0
Valentina Shevchenko,165.1,125.0,167.6,35.8,0.8387096774193549,31,3.04,0.52,2.0,0.63,2.65,0.61,0.76,0.3
Antonina Shevchenko,172.7,125.0,170.2,39.1,0.7142857142857143,14,3.86,0.55,2.93,0.52,0.43,0.42,0.53,0.4
